len, t1, t2, t3, t4, t5
10000,76, 17, 20, 23, 34
20000,60, 46, 54, 78, 61
30000,154, 180, 190, 204, 179
40000,235, 201, 259, 218, 267
50000,344, 375, 387, 268, 214
60000,292, 424, 340, 560, 537
70000,653, 567, 531, 519, 501
80000,595, 709, 755, 710, 704
90000,990, 340, 583, 785, 633
100000,379, 366, 309, 696, 785
110000,811, 900, 1036, 1041, 620
120000,1460, 1320, 1233, 1099, 1202
130000,1344, 1432, 1458, 1683, 1543
140000,1648, 1449, 1242, 1296, 1003
150000,1395, 1677, 1490, 1530, 1386
160000,1203, 701, 1478, 1266, 1444
170000,1441, 1606, 1693, 1772, 1785
180000,2200, 1739, 1832, 1928, 1813
190000,2049, 1943, 2112, 1355, 2082
200000,2114, 2322, 1954, 2034, 2082
210000,2609, 2335, 2196, 2572, 2488
220000,2148, 2039, 2074, 2023, 1909
230000,2289, 2603, 2258, 1867, 2177
240000,2755, 2702, 2733, 2898, 2582
250000,2380, 2677, 2155, 2212, 2346
260000,3228, 2769, 3377, 2546, 1781
270000,1696, 1569, 1630, 1612, 1553
280000,1470, 1506, 1558, 1526, 3279
290000,3028, 3215, 3291, 3173, 3769
300000,3712, 2628, 3115, 3680, 3857
310000,4290, 4540, 4046, 3762, 4461
320000,4625, 4113, 4770, 4930, 4183
330000,3687, 3506, 3713, 3902, 2496
340000,2780, 3375, 4094, 3920, 4217
350000,3047, 2609, 2114, 2405, 2511
360000,3112, 2814, 2522, 4587, 4838
370000,3247, 4522, 4878, 4230, 4826
380000,3238, 2820, 3834, 4445, 2873
390000,3805, 4405, 4507, 4987, 3338
400000,4656, 5071, 3956, 4278, 4775
410000,4924, 5154, 5826, 5389, 5530
420000,5148, 4471, 2543, 4240, 4513
430000,4217, 2534, 3974, 3796, 3533
440000,3156, 3715, 5509, 5395, 5159
450000,5636, 5767, 5730, 5303, 5277
460000,4383, 5819, 5323, 5944, 6229
470000,6330, 6506, 5305, 5942, 5268
480000,7879, 6706, 7573, 7471, 6578
490000,7975, 8290, 7342, 7680, 6836
500000,6805, 7088, 7628, 7649, 7336
510000,8412, 8219, 7692, 8362, 7101
520000,7502, 6904, 6529, 5344, 4569
530000,3484, 2870, 3327, 5811, 6422
540000,6448, 2679, 3347, 6877, 7204
550000,6804, 7128, 8016, 6019, 7635
560000,7319, 7340, 5481, 5880, 7128
570000,5392, 6237, 7988, 7474, 6505
580000,9803, 6461, 6861, 5761, 3883
590000,7156, 8210, 6525, 7280, 5874
600000,5225, 6051, 7516, 8127, 7397
610000,7574, 7586, 7908, 7720, 8511
620000,8790, 7498, 9106, 7906, 6538
630000,4216, 3805, 8483, 9513, 7531
640000,8034, 8551, 9914, 9455, 9085
650000,8827, 10503, 4946, 7773, 9352
660000,9851, 7407, 9700, 8139, 8074
670000,11113, 12239, 10408, 7190, 10390
680000,9295, 9541, 8148, 9779, 9103
690000,8402, 7673, 5312, 4335, 5015
700000,9189, 10697, 9193, 9542, 9083
710000,8453, 10499, 7268, 10591, 10371
720000,8437, 7605, 7972, 6646, 5686
730000,6884, 6665, 10631, 8180, 8006
740000,6505, 11219, 10928, 11459, 8068
750000,5864, 4855, 7901, 7041, 6870
760000,8161, 5264, 5290, 5935, 5979
770000,5797, 4738, 4275, 6343, 4521
780000,4757, 6093, 4482, 5455, 7960
790000,10970, 11465, 8774, 11322, 8996
800000,9260, 8371, 8539, 7481, 6962
810000,7689, 8921, 11789, 11523, 12435
820000,16846, 14776, 12391, 8180, 8062
830000,11032, 11434, 10384, 13647, 10176
840000,11042, 7724, 7147, 6543, 10224
850000,11467, 11870, 9251, 10216, 11167
860000,8805, 11757, 10816, 9043, 6275
870000,9674, 7670, 10387, 11487, 8359
880000,12841, 13300, 11796, 9150, 6760
890000,5452, 7961, 8514, 10540, 7997
900000,14412, 12460, 8482, 8790, 8448
910000,9064, 7637, 11730, 9599, 11635
920000,8730, 6359, 6317, 7546, 7644
930000,10621, 7942, 13660, 14656, 12920
940000,13629, 13339, 12321, 13105, 9449
950000,8269, 8928, 7518, 7744, 10010
960000,8350, 9894, 12168, 13001, 15054
970000,10469, 7999, 9001, 12305, 8967
980000,10336, 12513, 8036, 11622, 8642
990000,15237, 13613, 14259, 9236, 9109
1000000,9938, 8028, 7975, 10838, 14145
1010000,16552, 10689, 9299, 10485, 11871
1020000,9267, 12048, 8718, 7698, 9474
1030000,17967, 11740, 12189, 10990, 11386
1040000,11009, 8117, 7618, 8058, 8134
1050000,6063, 6735, 6998, 6574, 6573
1060000,14724, 19347, 12817, 8667, 9555
1070000,8164, 7788, 7695, 7389, 7396
1080000,6925, 8323, 9649, 12481, 10517
1090000,11993, 9730, 8746, 10542, 7711
1100000,6351, 5923, 5827, 5407, 5211
1110000,4808, 4764, 5924, 5912, 6245
1120000,9220, 6210, 5459, 5637, 5073
1130000,5300, 5452, 5426, 5538, 5956
1140000,6280, 6423, 5793, 9663, 11395
