l,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
10000,43, 13, 15, 15, 16, 15, 15, 15, 15, 15
20000,34, 33, 32, 30, 31, 30, 31, 31, 31, 30
30000,49, 47, 47, 46, 48, 54, 49, 49, 50, 51
40000,77, 68, 66, 67, 65, 64, 63, 64, 69, 98
50000,152, 102, 127, 97, 100, 95, 103, 96, 102, 102
60000,121, 126, 115, 130, 121, 129, 114, 126, 120, 126
70000,149, 146, 150, 140, 143, 144, 141, 145, 145, 149
80000,176, 173, 169, 167, 171, 169, 176, 171, 170, 170
90000,201, 190, 198, 193, 194, 198, 192, 191, 192, 200
100000,286, 285, 270, 271, 265, 273, 279, 272, 280, 275
110000,286, 265, 274, 269, 261, 280, 305, 296, 303, 337
120000,293, 305, 298, 302, 292, 294, 307, 301, 289, 294
130000,339, 332, 327, 320, 335, 341, 320, 333, 333, 319
140000,361, 360, 367, 341, 365, 347, 349, 362, 357, 368
150000,398, 385, 390, 383, 400, 388, 384, 404, 389, 376
160000,407, 393, 439, 391, 353, 381, 367, 366, 387, 359
170000,429, 461, 526, 441, 473, 551, 519, 446, 454, 436
180000,494, 461, 488, 495, 491, 491, 493, 496, 500, 497
190000,569, 573, 565, 554, 568, 570, 589, 589, 554, 577
200000,525, 520, 503, 489, 503, 504, 498, 503, 505, 481
210000,545, 526, 542, 540, 537, 531, 547, 532, 548, 532
220000,586, 569, 573, 566, 594, 621, 582, 592, 588, 593
230000,684, 641, 657, 661, 631, 663, 664, 636, 644, 669
240000,759, 828, 793, 788, 780, 814, 807, 786, 784, 788
250000,785, 799, 797, 804, 809, 829, 806, 821, 837, 832
260000,778, 812, 814, 784, 843, 778, 820, 820, 803, 805
270000,954, 919, 906, 939, 931, 888, 965, 929, 933, 978
280000,851, 945, 924, 819, 887, 869, 910, 866, 808, 811
290000,976, 915, 953, 926, 913, 1003, 937, 973, 1042, 1037
300000,997, 923, 888, 939, 994, 983, 1012, 957, 1012, 1039
310000,1322, 1186, 1117, 1292, 1239, 967, 964, 982, 956, 944
320000,1118, 1082, 1077, 1062, 1079, 1057, 1125, 1205, 1191, 1293
330000,1195, 1148, 1185, 1148, 1053, 990, 1047, 1033, 1043, 1043
340000,1226, 1241, 1224, 1215, 1253, 1300, 1233, 1235, 1279, 1119
350000,1085, 1101, 1098, 1073, 1076, 1070, 1090, 1087, 1093, 1128
