l,t1,t2,t3,t4,t5
10000,90, 55, 40, 28, 29
30000,101, 153, 108, 103, 97
50000,269, 212, 225, 219, 245
70000,301, 280, 272, 269, 247
90000,431, 467, 458, 417, 454
110000,556, 546, 544, 538, 527
130000,602, 588, 1096, 720, 678
150000,1627, 1917, 1824, 2001, 1830
170000,976, 951, 912, 968, 904
190000,920, 935, 936, 917, 910
210000,1054, 1017, 1012, 988, 994
230000,1089, 1117, 1092, 1199, 1122
250000,1177, 1163, 1121, 1134, 1140
270000,1243, 1264, 1250, 1235, 1234
290000,1404, 1429, 1427, 1447, 1455
310000,1541, 1493, 1463, 1434, 1441
330000,1622, 1591, 1610, 1592, 1577
350000,1701, 1677, 1686, 1677, 1639
370000,1738, 1753, 1767, 1798, 1804
390000,1898, 1831, 1849, 1874, 1845
410000,1987, 1978, 2016, 1962, 1981
430000,2284, 2281, 2291, 2441, 2196
450000,2361, 2473, 2458, 2470, 2453
470000,2599, 2564, 2628, 2564, 2605
490000,2934, 2870, 2874, 2865, 3051
510000,2805, 2632, 2635, 2681, 2716
530000,2815, 2740, 2703, 2679, 2660
550000,2943, 2921, 2894, 2876, 2909
570000,3012, 3003, 3178, 2995, 3113
590000,3075, 3115, 3033, 3107, 3073
610000,3443, 3637, 3464, 3610, 3551
630000,3204, 3242, 3185, 3214, 3185
650000,3359, 3470, 3321, 3408, 3228
670000,3285, 3230, 3225, 3258, 3389
690000,3797, 3823, 3749, 3680, 4929
710000,4410, 3793, 3773, 3735, 3691
730000,4298, 4101, 4179, 4106, 4233
750000,4282, 4422, 4481, 4296, 4420
770000,4289, 4226, 4191, 4118, 4180
790000,4676, 5146, 4740, 4691, 4608
810000,4412, 4480, 4498, 4386, 4566
830000,5148, 5184, 5424, 5282, 5314
850000,5360, 5057, 5074, 5089, 5013
870000,4701, 4591, 4749, 4742, 4563
890000,4813, 4826, 4866, 4753, 5225
910000,5192, 5024, 5144, 5050, 5054
930000,5346, 5153, 5103, 5135, 5236
950000,5284, 5176, 5234, 5280, 5298
970000,5312, 5101, 5126, 5058, 4979
990000,5547, 5341, 5576, 5562, 5463
1010000,5515, 5455, 5422, 5405, 5454
1030000,5696, 5862, 5967, 5878, 5821
1050000,6158, 6135, 6238, 6337, 6157
1070000,6279, 6284, 6173, 6131, 6066
1090000,6609, 6781, 6867, 6704, 6658
1110000,6559, 6543, 6367, 6394, 6437
1130000,6668, 6435, 6654, 6636, 6525
1150000,6305, 6296, 6167, 6141, 6285
1170000,6482, 6477, 6508, 6677, 6492
1190000,6810, 6831, 6684, 6580, 6832
1210000,7099, 7011, 6966, 6921, 6812
1230000,7566, 7379, 7660, 7668, 7509
1250000,7574, 7301, 7200, 7126, 7260
1270000,7801, 7720, 7724, 7833, 7708
1290000,7466, 7531, 7550, 7627, 7433
1310000,7512, 7372, 7501, 7301, 7352
1330000,7963, 7698, 7897, 7771, 7936
1350000,7706, 7747, 7453, 7290, 7860
1370000,8183, 7992, 8063, 8239, 8129
1390000,8140, 8216, 8183, 8025, 7735
1410000,8900, 8886, 8608, 8663, 8978
1430000,8090, 8452, 8361, 8538, 8346
1450000,8514, 8463, 8520, 8473, 8098
1470000,8582, 9149, 8701, 8921, 8891
1490000,8422, 8655, 8223, 8393, 8703
1510000,9530, 9615, 9847, 9412, 9405
1530000,9136, 9210, 9221, 8944, 8878
1550000,9969, 10056, 10201, 10029, 10164
1570000,10006, 10341, 9946, 9775, 9688
1590000,9219, 9248, 9305, 9283, 9015
1610000,9109, 9272, 9657, 9888, 9828
1630000,9994, 9791, 9572, 9746, 10062
1650000,10572, 10188, 10427, 10516, 10263
1670000,10332, 10106, 10408, 10767, 10674
1690000,10842, 10990, 10667, 10432, 10794
1710000,10016, 10033, 10211, 10565, 10600
1730000,10872, 10534, 10697, 13193, 10485
1750000,10867, 10695, 10477, 10818, 10753
1770000,10369, 10319, 10117, 10320, 10152
1790000,11045, 11348, 10821, 11248, 10901
1810000,10209, 10446, 10352, 10594, 10866
1830000,10909, 10788, 11466, 11140, 11176
1850000,11551, 11063, 11479, 11512, 11446
1870000,11855, 11906, 12001, 11776, 11563
1890000,12222, 12172, 12032, 11940, 11769
1910000,11861, 12061, 12009, 12245, 12321
1930000,14330, 12447, 12302, 12342, 12297
1950000,11276, 11189, 11427, 11754, 11382
1970000,11879, 11983, 11963, 12024, 11805
1990000,12078, 11986, 12130, 12396, 13524
