l,t1,t2,t3,t4,t5
10000,55, 21, 27, 20, 18
30000,101, 90, 86, 79, 76
50000,150, 174, 155, 146, 144
70000,201, 244, 229, 236, 214
90000,323, 295, 305, 284, 271
110000,352, 390, 348, 397, 402
130000,437, 406, 500, 475, 463
150000,470, 445, 468, 467, 463
170000,567, 632, 614, 556, 579
190000,734, 752, 701, 727, 762
210000,728, 794, 793, 726, 791
230000,1169, 1080, 1166, 1116, 1180
250000,1122, 1349, 1190, 985, 976
270000,1156, 1118, 1158, 1191, 1722
290000,1293, 1263, 1282, 1242, 1255
310000,1152, 1223, 1213, 1244, 1201
330000,1562, 2022, 2131, 2048, 1563
350000,1656, 1630, 1655, 1643, 1546
370000,1675, 1915, 2117, 1649, 2186
390000,1760, 1686, 1666, 1779, 1775
410000,1838, 1815, 1880, 1896, 1811
430000,1890, 1855, 1877, 1942, 1954
450000,1912, 1985, 2051, 1947, 1911
470000,2306, 2323, 2342, 2239, 2250
490000,2246, 2280, 2263, 2179, 2299
510000,2471, 2414, 2547, 3063, 3107
530000,3497, 2406, 2469, 2281, 2249
550000,2624, 2565, 2602, 2683, 2583
570000,3202, 3118, 3147, 3097, 3059
590000,2911, 2898, 2879, 2810, 2782
610000,3034, 2902, 2852, 2840, 2895
630000,3099, 3084, 3026, 3087, 3136
650000,3799, 3542, 3614, 4366, 4265
670000,3597, 4158, 3489, 3431, 3326
690000,3799, 3543, 3632, 3620, 3490
710000,3659, 3702, 3687, 3626, 3677
730000,3773, 3845, 3741, 3766, 3708
750000,4087, 4266, 4138, 4305, 3922
770000,4265, 4647, 4450, 4446, 4463
790000,3911, 4115, 4036, 4064, 4108
810000,4572, 4561, 4570, 4699, 4668
830000,4552, 4662, 4572, 4588, 4629
850000,4776, 4723, 4369, 4767, 4870
870000,4883, 4945, 4978, 4704, 4641
890000,4838, 4750, 4816, 4919, 4847
910000,6304, 5981, 5923, 5949, 5978
930000,4890, 5195, 5099, 5105, 4947
950000,5464, 5215, 5070, 5330, 5229
970000,5259, 5361, 5500, 5463, 5501
990000,5842, 5868, 5778, 5733, 5618
1010000,5347, 5557, 5512, 5468, 5589
1030000,5448, 5405, 5852, 5843, 5790
1050000,7218, 7150, 7122, 6928, 7110
1070000,6745, 6691, 6723, 6712, 6825
1090000,5972, 6030, 5844, 5726, 5581
1110000,5804, 6284, 6233, 6320, 6081
1130000,6484, 6687, 6670, 6462, 6475
1150000,7192, 7238, 7074, 7335, 7172
1170000,6566, 6768, 7125, 6713, 6674
1190000,7549, 7390, 7887, 7543, 7757
1210000,8330, 7009, 7040, 6986, 7225
1230000,8146, 7687, 7465, 7995, 7979
1250000,8654, 8530, 8739, 8312, 8343
1270000,7879, 7910, 7945, 8204, 7483
1290000,7715, 8170, 7811, 7841, 7928
1310000,8038, 7770, 8414, 8130, 8023
1330000,8442, 8287, 8214, 8335, 8364
1350000,8539, 8702, 8440, 8449, 8789
1370000,7620, 7859, 8175, 7729, 7239
1390000,9082, 9230, 9452, 8952, 9159
1410000,8728, 9351, 9614, 10113, 9641
1430000,9185, 8862, 9171, 8867, 8735
1450000,9460, 9200, 8899, 9005, 9475
1470000,10644, 10894, 10662, 9597, 10157
1490000,11494, 10268, 10827, 11247, 11246
1510000,11251, 11443, 11239, 10896, 10780
1530000,10062, 9473, 9596, 10336, 9678
1550000,10074, 9740, 9646, 10286, 10349
1570000,11948, 11419, 11815, 10553, 11735
1590000,9291, 9210, 9387, 8794, 11033
1610000,10390, 9532, 9531, 9496, 9077
1630000,10626, 10435, 10485, 10330, 11133
1650000,9551, 9574, 9633, 9755, 9887
1670000,10635, 10850, 10720, 11441, 11505
1690000,10151, 10177, 10278, 10451, 13567
1710000,11700, 10944, 11200, 11232, 11373
1730000,10924, 10858, 11188, 10829, 11021
1750000,12939, 12497, 13201, 12365, 12763
1770000,11493, 11933, 11845, 11564, 11119
1790000,11208, 11517, 11179, 11297, 11395
1810000,10940, 11408, 11543, 11741, 11246
1830000,11754, 11738, 11803, 11400, 11586
1850000,13644, 13426, 12978, 11024, 10790
1870000,9757, 9449, 9361, 8987, 8990
1890000,8241, 8219, 8214, 7995, 8100
1910000,7752, 7568, 7523, 7599, 7426
1930000,8609, 8618, 8777, 8475, 8589
1950000,7660, 7715, 7454, 7520, 7748
1970000,8559, 8770, 8755, 8626, 8730
1990000,8086, 8233, 8311, 8250, 8260
