l,t1,t2,t3,t4,t5
10000,14, 0, 0, 0, 0
30000,5, 4, 5, 2, 2
50000,12, 6, 11, 6, 10
70000,9, 19, 8, 7, 14
90000,31, 10, 12, 9, 30
110000,15, 13, 16, 14, 29
130000,16, 28, 37, 18, 21
150000,33, 20, 25, 26, 34
170000,19, 41, 44, 21, 32
190000,22, 25, 31, 30, 22
210000,33, 24, 44, 24, 26
230000,28, 55, 24, 30, 47
250000,59, 33, 33, 53, 31
270000,39, 60, 35, 67, 31
290000,41, 70, 33, 33, 76
310000,45, 87, 59, 68, 42
330000,39, 70, 35, 69, 60
350000,81, 47, 73, 49, 93
370000,42, 91, 66, 46, 79
390000,44, 73, 73, 51, 78
410000,49, 109, 75, 45, 85
430000,49, 102, 67, 82, 50
450000,130, 115, 81, 125, 71
470000,96, 61, 110, 81, 93
490000,55, 111, 72, 88, 82
510000,123, 58, 115, 80, 110
530000,94, 91, 109, 90, 100
550000,95, 109, 62, 127, 90
570000,92, 125, 92, 124, 91
590000,93, 133, 98, 122, 96
610000,96, 170, 143, 183, 156
630000,140, 173, 127, 110, 152
650000,121, 144, 113, 144, 115
670000,139, 147, 140, 123, 160
690000,143, 144, 146, 152, 163
710000,115, 142, 144, 127, 182
730000,125, 156, 165, 138, 152
750000,179, 135, 130, 157, 237
770000,222, 218, 194, 168, 195
790000,163, 199, 158, 165, 169
810000,164, 168, 148, 198, 216
830000,160, 163, 188, 157, 170
850000,183, 180, 157, 238, 167
870000,168, 178, 191, 150, 220
890000,234, 151, 233, 152, 226
910000,199, 242, 153, 223, 150
930000,188, 196, 196, 170, 288
950000,316, 356, 168, 255, 147
970000,181, 172, 225, 180, 171
990000,205, 258, 255, 241, 157
1010000,193, 223, 178, 206, 201
1030000,162, 282, 220, 228, 165
1050000,232, 230, 197, 249, 221
1070000,220, 251, 213, 261, 220
1090000,204, 245, 205, 256, 213
1110000,263, 259, 264, 266, 242
1130000,173, 267, 241, 246, 229
1150000,239, 262, 228, 245, 234
1170000,224, 255, 230, 259, 235
1190000,228, 280, 237, 275, 225
1210000,268, 230, 252, 247, 245
1230000,267, 325, 228, 277, 244
1250000,247, 281, 288, 287, 325
1270000,270, 254, 250, 274, 297
1290000,285, 259, 289, 404, 234
1310000,292, 294, 278, 267, 237
1330000,324, 244, 318, 276, 295
1350000,232, 353, 270, 246, 294
1370000,236, 395, 535, 338, 394
1390000,313, 345, 319, 240, 331
1410000,238, 332, 303, 276, 270
1430000,586, 493, 707, 254, 517
1450000,359, 304, 552, 497, 345
1470000,297, 577, 496, 686, 312
1490000,558, 701, 679, 524, 725
1510000,788, 897, 556, 367, 376
1530000,328, 338, 321, 356, 353
1550000,524, 349, 368, 407, 408
1570000,446, 344, 402, 395, 373
1590000,525, 361, 291, 368, 384
1610000,335, 363, 657, 466, 480
1630000,802, 592, 731, 609, 755
1650000,752, 597, 337, 341, 375
1670000,318, 389, 379, 347, 368
1690000,373, 349, 327, 417, 340
1710000,337, 335, 292, 413, 354
1730000,330, 333, 399, 405, 343
1750000,394, 344, 376, 353, 332
1770000,459, 393, 410, 411, 363
1790000,355, 396, 440, 353, 391
1810000,382, 398, 395, 413, 419
1830000,405, 379, 378, 410, 370
1850000,371, 387, 395, 368, 375
1870000,378, 430, 385, 451, 384
1890000,432, 415, 399, 427, 398
1910000,380, 428, 395, 447, 373
1930000,427, 359, 460, 369, 432
1950000,394, 473, 376, 371, 486
1970000,459, 463, 386, 463, 444
1990000,467, 502, 442, 507, 461
