l,t1,t2,t3,t4,t5
10000,12, 0, 0, 0, 0
30000,6, 2, 2, 3, 2
50000,8, 4, 5, 4, 5
70000,6, 10, 7, 7, 6
90000,15, 21, 10, 9, 8
110000,10, 13, 15, 10, 16
130000,22, 13, 29, 17, 18
150000,22, 29, 12, 17, 17
170000,33, 20, 22, 20, 16
190000,25, 38, 25, 22, 21
210000,35, 44, 21, 25, 34
230000,49, 32, 43, 23, 36
250000,36, 29, 30, 37, 26
270000,58, 29, 54, 27, 32
290000,46, 33, 51, 34, 36
310000,35, 47, 43, 41, 42
330000,59, 40, 51, 46, 35
350000,62, 46, 53, 48, 47
370000,75, 59, 41, 54, 46
390000,67, 71, 44, 64, 49
410000,83, 60, 69, 47, 59
430000,65, 78, 49, 58, 63
450000,88, 59, 60, 52, 73
470000,91, 63, 73, 70, 68
490000,57, 90, 59, 85, 56
510000,58, 85, 71, 59, 68
530000,88, 74, 100, 63, 69
550000,98, 63, 88, 84, 83
570000,102, 90, 75, 72, 80
590000,100, 94, 81, 96, 81
610000,102, 105, 80, 95, 87
630000,93, 105, 84, 96, 78
650000,99, 103, 87, 114, 92
670000,135, 100, 117, 92, 96
690000,127, 90, 93, 92, 96
710000,118, 113, 108, 102, 107
730000,119, 136, 117, 99, 101
750000,135, 115, 126, 114, 132
770000,146, 133, 137, 111, 116
790000,187, 107, 110, 108, 109
810000,153, 112, 154, 142, 123
830000,190, 111, 116, 114, 116
850000,154, 116, 121, 116, 155
870000,160, 116, 161, 144, 111
890000,200, 155, 128, 133, 120
910000,189, 173, 154, 128, 159
930000,167, 153, 145, 134, 128
950000,178, 129, 165, 159, 161
970000,174, 135, 187, 165, 142
990000,170, 161, 170, 140, 157
1010000,190, 138, 171, 169, 145
1030000,196, 174, 168, 162, 183
1050000,198, 144, 169, 172, 170
1070000,184, 158, 262, 148, 166
1090000,225, 182, 218, 151, 200
1110000,201, 156, 222, 161, 169
1130000,227, 165, 218, 220, 224
1150000,199, 159, 223, 184, 179
1170000,229, 173, 238, 201, 240
1190000,236, 232, 238, 228, 233
1210000,213, 171, 219, 193, 201
1230000,237, 196, 251, 243, 238
1250000,237, 181, 233, 228, 232
1270000,189, 232, 185, 241, 243
1290000,235, 180, 236, 245, 241
1310000,202, 239, 196, 259, 207
1330000,199, 241, 202, 239, 245
1350000,260, 244, 252, 241, 248
1370000,203, 247, 200, 260, 217
1390000,208, 250, 207, 217, 232
1410000,208, 247, 208, 265, 232
1430000,269, 260, 219, 266, 269
1450000,278, 266, 223, 268, 260
1470000,237, 230, 217, 231, 240
1490000,243, 233, 216, 218, 282
1510000,222, 272, 231, 295, 247
1530000,225, 270, 237, 312, 289
1550000,249, 264, 300, 292, 294
1570000,257, 239, 239, 289, 279
1590000,264, 247, 231, 265, 293
1610000,307, 255, 309, 426, 239
1630000,326, 308, 258, 329, 281
1650000,308, 285, 256, 312, 294
1670000,280, 245, 361, 314, 308
1690000,376, 346, 278, 345, 292
1710000,273, 284, 261, 308, 325
1730000,367, 362, 344, 336, 368
1750000,406, 309, 307, 361, 348
1770000,341, 330, 311, 365, 346
1790000,380, 352, 346, 334, 355
1810000,333, 382, 357, 356, 353
1830000,376, 334, 327, 382, 354
1850000,342, 375, 319, 362, 380
1870000,343, 421, 374, 365, 368
1890000,391, 330, 344, 387, 366
1910000,379, 370, 327, 395, 351
1930000,452, 386, 374, 390, 355
1950000,351, 380, 348, 326, 329
1970000,420, 371, 344, 388, 392
1990000,370, 416, 385, 401, 340
