l,t1,t2,t3,t4,t5
10000,3, 0, 0, 0, 0
30000,3, 2, 2, 2, 2
50000,10, 8, 6, 11, 7
70000,7, 8, 7, 8, 8
90000,9, 8, 9, 9, 12
110000,15, 11, 11, 12, 11
130000,15, 15, 14, 24, 13
150000,19, 16, 20, 18, 17
170000,20, 22, 25, 28, 26
190000,30, 24, 21, 21, 22
210000,28, 23, 27, 28, 29
230000,33, 31, 25, 25, 25
250000,32, 31, 32, 34, 30
270000,41, 30, 34, 38, 33
290000,36, 40, 42, 38, 35
310000,40, 42, 44, 36, 37
330000,37, 40, 38, 45, 43
350000,47, 45, 38, 38, 40
370000,48, 52, 48, 42, 48
390000,48, 44, 50, 51, 58
410000,55, 52, 58, 51, 52
430000,50, 50, 48, 51, 52
450000,66, 60, 55, 62, 57
470000,61, 60, 52, 58, 57
490000,68, 64, 65, 65, 67
510000,71, 69, 61, 57, 64
530000,73, 68, 65, 65, 59
550000,67, 63, 72, 61, 63
570000,77, 74, 63, 69, 73
590000,83, 85, 77, 80, 77
610000,79, 71, 77, 80, 77
630000,76, 74, 85, 76, 83
650000,81, 76, 74, 75, 75
670000,90, 91, 83, 91, 84
690000,87, 80, 84, 87, 85
710000,98, 100, 93, 90, 83
730000,100, 97, 93, 88, 95
750000,99, 100, 95, 97, 95
770000,94, 92, 98, 102, 96
790000,103, 100, 96, 105, 101
810000,109, 103, 100, 102, 105
830000,107, 101, 102, 109, 107
850000,107, 102, 106, 113, 110
870000,107, 114, 114, 111, 108
890000,113, 112, 105, 109, 114
910000,118, 111, 105, 107, 113
930000,118, 123, 122, 119, 111
950000,118, 113, 126, 122, 124
970000,134, 130, 125, 124, 123
990000,133, 121, 121, 133, 127
1010000,125, 127, 133, 126, 124
1030000,136, 131, 128, 127, 136
1050000,135, 136, 135, 129, 125
1070000,143, 138, 134, 129, 133
1090000,145, 135, 143, 145, 137
1110000,139, 142, 143, 147, 136
1130000,148, 141, 141, 149, 145
1150000,155, 146, 143, 149, 153
1170000,144, 159, 158, 158, 152
1190000,156, 164, 150, 156, 156
1210000,149, 148, 158, 148, 146
1230000,153, 157, 166, 157, 155
1250000,158, 162, 166, 166, 170
1270000,163, 160, 165, 170, 166
1290000,164, 160, 158, 156, 164
1310000,168, 178, 166, 162, 160
1330000,176, 173, 176, 181, 170
1350000,180, 167, 166, 165, 172
1370000,178, 170, 167, 179, 182
1390000,188, 184, 182, 187, 184
1410000,191, 186, 176, 176, 191
1430000,189, 195, 185, 190, 199
1450000,189, 186, 197, 194, 191
1470000,193, 187, 186, 196, 202
1490000,199, 195, 197, 198, 196
1510000,191, 194, 203, 197, 186
1530000,211, 193, 208, 206, 196
1550000,205, 213, 196, 195, 194
1570000,198, 203, 207, 218, 205
1590000,204, 201, 209, 211, 197
1610000,202, 217, 202, 201, 212
1630000,210, 237, 217, 212, 203
1650000,229, 217, 216, 218, 213
1670000,216, 218, 212, 212, 227
1690000,228, 215, 228, 232, 235
1710000,222, 229, 234, 211, 228
1730000,224, 230, 228, 235, 229
1750000,219, 233, 242, 225, 235
1770000,232, 225, 224, 222, 225
1790000,234, 246, 228, 234, 247
1810000,234, 241, 240, 244, 236
1830000,248, 262, 241, 239, 235
1850000,239, 237, 254, 251, 251
1870000,255, 240, 241, 238, 252
1890000,261, 249, 247, 247, 243
1910000,261, 255, 244, 242, 242
1930000,261, 260, 251, 247, 271
1950000,253, 253, 250, 266, 258
1970000,263, 259, 263, 291, 273
1990000,283, 276, 266, 287, 277
